state,candidate,percent_chance,date,url
maine,Biden,36,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Sanders,27,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Warren,22,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Buttigieg,14,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Bloomberg,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Steyer,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maine,Bennet,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maine
maryland,Biden,55,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Sanders,18,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Warren,14,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Buttigieg,10,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Klobuchar,0.9,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Bloomberg,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Steyer,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Yang,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Delaney,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
maryland,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/maryland
massachusetts,Biden,33,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
